commanded position, signed delta, theoretical position, actual position, error
-6.38927, -6.39, -6.39,-6.2376,-0.15167
-4.89069, -1.5, -4.89,-5.0424,0.15171
-7.59189, -2.7, -7.59,-7.4376,-0.15429
9.98187, -17.57, 9.98,9.8276,-0.15427
3.07932, -6.9, 3.08,3.2324,0.15308
3.80396, -0.72, 3.8,3.6476,-0.15636
5.77758, 1.98, 5.78,5.78,0.00242
-5.91302, -11.69, -5.91,-5.7576,-0.15542
-6.45509, 0.55, -6.46,-6.46,0.00491
3.70131, -10.16, 3.7,3.5476,-0.15371
-5.96135, -9.66, -5.96,-5.8076,-0.15375
-7.02116, 1.06, -7.02,-7.02,-0.00116
9.88299, -16.9, 9.88,9.7276,-0.15539
5.73057, -4.15, 5.73,5.8824,0.15183
-8.1384, 13.87, -8.14,-8.14,0.0016
0.48182, -8.62, 0.48,0.3276,-0.15422
0.14184, -0.34, 0.14,0.2924,0.15056
-5.45593, 5.6, -5.46,-5.46,0.00407
9.08157, -14.54, 9.08,8.9276,-0.15397
4.13263, -4.95, 4.13,4.2824,0.14977
8.15475, -4.02, 8.15,7.9976,-0.15715
4.84793, -3.3, 4.85,5.0024,0.15447
-7.00392, 11.85, -7,-7,-0.00392
-8.35187, 1.35, -8.35,-8.35,-0.00187
-9.99546, 1.65, -10,-10,0.00454
3.76996, -13.77, 3.77,3.6176,-0.15236
-6.6008, -10.37, -6.6,-6.4476,-0.1532
-7.64567, 1.05, -7.65,-7.65,0.00433
-6.01271, -1.64, -6.01,-6.1624,0.14969
-6.12199, -0.11, -6.12,-5.9676,-0.15439
-0.83475, -5.29, -0.83,-0.9824,0.14765
-7.37724, -6.55, -7.38,-7.2276,-0.14964
4.41461, -11.79, 4.41,4.2576,-0.15701
7.01159, 2.6, 7.01,7.01,-0.00159
-3.78413, -10.79, -3.78,-3.6276,-0.15653
3.94408, -7.72, 3.94,3.7876,-0.15648
5.3613, 1.42, 5.36,5.36,-0.0013
-5.19341, -10.55, -5.19,-5.0376,-0.15581
8.36979, -13.56, 8.37,8.2176,-0.15219
0.47427, -7.9, 0.47,0.6224,0.14813
-4.10914, 4.58, -4.11,-4.11,0.00086
-2.17989, -1.93, -2.18,-2.3324,0.15251
8.86606, 11.05, 8.87,8.87,0.00394
1.94132, -6.93, 1.94,2.0924,0.15108
0.31026, 1.63, 0.31,0.31,-0.00026
-0.57586, 0.89, -0.58,-0.58,0.00414
1.75886, -2.34, 1.76,1.6076,-0.15126
-1.46655, -3.23, -1.47,-1.3176,-0.14895
2.09326, -3.56, 2.09,1.9376,-0.15566
3.94004, 1.85, 3.94,3.94,-4E-05
4.89269, 0.95, 4.89,4.89,-0.00269
6.73302, 1.84, 6.73,6.73,-0.00302
2.87032, -3.86, 2.87,3.0224,0.15208
-0.49053, 3.36, -0.49,-0.49,-0.00053
-3.53794, 3.05, -3.54,-3.54,0.00206
-6.37478, 2.83, -6.37,-6.37,-0.00478
1.86174, -8.23, 1.86,1.7076,-0.15414
0.85448, -1.01, 0.85,1.0024,0.14792
-7.48747, 8.34, -7.49,-7.49,0.00253
0.9951, -8.49, 1,0.8476,-0.1475
0.98296, -0.02, 0.98,1.1324,0.14944
8.09863, -7.12, 8.1,7.9476,-0.15103
2.44083, -5.66, 2.44,2.5924,0.15157
-8.82176, 11.26, -8.82,-8.82,-0.00176
-3.05032, -5.77, -3.05,-3.2024,0.15208
0.10741, 3.16, 0.11,0.11,0.00259
-1.20445, -1.31, -1.2,-1.0476,-0.15685
2.68106, -3.88, 2.68,2.5276,-0.15346
-7.00964, -9.69, -7.01,-6.8576,-0.15204
-1.18571, -5.82, -1.19,-1.3424,0.15669
-5.85541, -4.67, -5.86,-5.7076,-0.14781
-4.27331, -1.59, -4.27,-4.4224,0.14909
-4.78007, -0.51, -4.78,-4.6276,-0.15247
-2.08358, -2.7, -2.08,-2.2324,0.14882
3.76899, 5.85, 3.77,3.77,0.00101
8.39885, 4.63, 8.4,8.4,0.00115
5.47408, -2.93, 5.47,5.6224,0.14832
1.59175, 3.88, 1.59,1.59,-0.00175
-5.87556, 7.47, -5.88,-5.88,0.00444
1.98691, -7.87, 1.99,1.8376,-0.14931
-1.3167, -3.31, -1.32,-1.1676,-0.1491
8.94977, -10.27, 8.95,8.7976,-0.15217
-5.65853, -14.61, -5.66,-5.5076,-0.15093
-1.33852, -4.32, -1.34,-1.4924,0.15388
6.24894, 7.59, 6.25,6.25,0.00106
-6.11919, -12.37, -6.12,-5.9676,-0.15159
-1.14794, -4.97, -1.15,-1.3024,0.15446
7.52001, 8.67, 7.52,7.52,-1E-05
5.13412, -2.39, 5.13,5.2824,0.14828
-8.35025, 13.48, -8.35,-8.35,-0.00025
-2.67761, -5.67, -2.68,-2.8324,0.15479
9.30392, 11.98, 9.3,9.3,-0.00392
9.24434, -0.06, 9.24,9.3924,0.14806
-6.57045, 15.81, -6.57,-6.57,-0.00045
-5.19176, -1.38, -5.19,-5.3424,0.15064
6.39925, 11.59, 6.4,6.4,0.00075
-2.24416, -8.64, -2.24,-2.0876,-0.15656
-8.95771, 6.72, -8.96,-8.96,0.00229
1.91495, -10.87, 1.91,1.7576,-0.15735
-9.84681, -11.76, -9.85,-9.6976,-0.14921
-1.53746, -8.31, -1.54,-1.6924,0.15494
-2.52024, -0.98, -2.52,-2.3676,-0.15264
-5.87739, 3.36, -5.88,-5.88,0.00261
-4.03138, -1.85, -4.03,-4.1824,0.15102
4.45793, 8.49, 4.46,4.46,0.00207
8.35437, 3.89, 8.35,8.35,-0.00437
-3.12575, -11.48, -3.13,-2.9776,-0.14815
-5.26119, 2.13, -5.26,-5.26,-0.00119
-4.09829, -1.16, -4.1,-4.2524,0.15411
7.28027, 11.38, 7.28,7.28,-0.00027
5.7566, -1.52, 5.76,5.9124,0.1558
7.03914, -1.28, 7.04,6.8876,-0.15154
-7.58564, -14.63, -7.59,-7.4376,-0.14804
6.43276, -14.02, 6.43,6.2776,-0.15516
3.59912, -2.83, 3.6,3.7524,0.15328
3.57, 0.03, 3.57,3.57,-0
-8.1924, 11.76, -8.19,-8.19,-0.0024
-5.74641, -2.44, -5.75,-5.9024,0.15599
-0.22984, 5.52, -0.23,-0.23,0.00016
3.88109, 4.11, 3.88,3.88,-0.00109
-1.09664, -4.98, -1.1,-0.9476,-0.14904
